"No,";Time;Source;Destination;Protocol;Length;Info;;;;;;time 1;time 2;;delay;;delay 1;delay 2;Jitter
30;"0,086739";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=15169 Win=13865 Len=0;;;;;;"0,086739";"0,086764";;"2,5E-05";;-1E-06;"2,6E-05";"2,7E-05"
31;"0,086764";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=17367 Win=13888 Len=0;;;;;;"0,086764";"0,08679";;"2,6E-05";;"-6,3E-05";"8,9E-05";"0,000152"
32;"0,08679";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=19019 Win=13910 Len=0;;;;;;"0,08679";"0,086879";;"8,9E-05";;"-0,000881";"0,00097";"0,001851"
33;"0,086879";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=20671 Win=13933 Len=0;;;;;;"0,086879";"0,087849";;"0,00097";;"-0,003222";"0,004192";"0,007414"
34;"0,087849";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=21073 Win=13933 Len=0;;;;;;"0,087849";"0,092041";;"0,004192";;"-0,031625";"0,035817";"0,067442"
35;"0,092041";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=21110 Win=13933 Len=0;;;;;;"0,092041";"0,127858";;"0,035817";;"0,035756";"6,1E-05";"-0,035695"
36;"0,127858";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=22570 Win=13956 Len=0;;;;;;"0,127858";"0,127919";;"6,1E-05";;"-0,039655";"0,039716";"0,079371"
37;"0,127919";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=23395 Win=13956 Len=0;;;;;;"0,127919";"0,167635";;"0,039716";;"-0,002403";"0,042119";"0,044522"
38;"0,167635";"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;;;"0,167635";"0,209754";;"0,042119";;"0,042068";"5,1E-05";"-0,042017"
39;"0,209754";"103,107,186,26";"172,31,18,98";"TLSv1,2";200;"Application Data, Application Data";;;;;;"0,209754";"0,209805";;"5,1E-05";;"-0,046147";"0,046198";"0,092345"
40;"0,209805";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31658 Ack=220 Win=63231 Len=0;;;;;;"0,209805";"0,256003";;"0,046198";;"0,005502";"0,040696";"0,035194"
41;"0,256003";"103,107,186,26";"172,31,18,98";"TLSv1,2";233;"Application Data, Application Data, Application Data";;;;;;"0,256003";"0,296699";;"0,040696";;"0,040654";"4,2E-05";"-0,040612"
42;"0,296699";"103,107,186,26";"172,31,18,98";"TLSv1,2";574;"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data";;;;;;"0,296699";"0,296741";;"4,2E-05";;"-0,004273";"0,004315";"0,008588"
43;"0,296741";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31658 Ack=919 Win=64000 Len=0;;;;;;"0,296741";"0,301056";;"0,004315";;"0,004128";"0,000187";"-0,003941"
44;"0,301056";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=919 Ack=23448 Win=13956 Len=0;;;;;;"0,301056";"0,301243";;"0,000187";;"0,000139";"4,8E-05";"-9,1E-05"
45;"0,301243";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=919 Ack=24908 Win=13979 Len=0;;;;;;"0,301243";"0,301291";;"4,8E-05";;"-1,4E-05";"6,2E-05";"7,6E-05"
46;"0,301291";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=919 Ack=26613 Win=14002 Len=0;;;;;;"0,301291";"0,301353";;"6,2E-05";;"1,7E-05";"4,5E-05";"2,8E-05"
47;"0,301353";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=919 Ack=28265 Win=14025 Len=0;;;;;;"0,301353";"0,301398";;"4,5E-05";;-7E-06;"5,2E-05";"5,9E-05"
48;"0,301398";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=919 Ack=29584 Win=14047 Len=0;;;;;;"0,301398";"0,30145";;"5,2E-05";;"-6,1E-05";"0,000113";"0,000174"
49;"0,30145";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=919 Ack=31044 Win=14070 Len=0;;;;;;"0,30145";"0,301563";;"0,000113";;"-0,116965";"0,117078";"0,234043"
50;"0,301563";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=919 Ack=31658 Win=14070 Len=0;;;;;;"0,301563";"0,418641";;"0,117078";;"0,074613";"0,042465";"-0,032148"
51;"0,418641";"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;;;"0,418641";"0,461106";;"0,042465";;"0,018922";"0,023543";"0,004621"
52;"0,461106";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31658 Ack=972 Win=63947 Len=0;;;;;;"0,461106";"0,484649";;"0,023543";;"-0,00257";"0,026113";"0,028683"
53;"0,484649";"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;;;"0,484649";"0,510762";;"0,026113";;"0,02609";"2,3E-05";"-0,026067"
54;"0,510762";"103,107,186,26";"172,31,18,98";"TLSv1,2";188;"Application Data, Application Data";;;;;;"0,510762";"0,510785";;"2,3E-05";;"-0,117798";"0,117821";"0,235619"
55;"0,510785";"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=31658 Ack=1179 Win=63740 Len=0;;;;;;"0,510785";"0,628606";;"0,117821";;"0,066625";"0,051196";"-0,015429"
56;"0,628606";"103,107,186,26";"172,31,18,98";"TLSv1,2";97;Application Data;;;;;;"0,628606";"0,679802";;"0,051196";;"0,048917";"0,002279";"-0,046638"
